RMSE,MAE,R2,n,model,variant,horizon,station
0.04441353727808485,0.027462572169238395,0.4849607894839659,364,XGBoost,univariate,1,RM05
0.03807705312044383,0.02354816296153016,0.6214386896369124,364,XGBoost,multivariate,1,RM05
0.05270320653705748,0.0364105249791172,0.2701676568801594,358,XGBoost,univariate,7,RM05
0.051070590691148304,0.03518310759733509,0.3146841293620247,358,XGBoost,multivariate,7,RM05
0.05741377592811999,0.039887820341444426,0.14183608930657943,351,XGBoost,univariate,14,RM05
0.06227780676165808,0.042245869274254874,-0.009728572819708736,351,XGBoost,multivariate,14,RM05
0.05118079897403833,0.03301680272162616,0.13789768976888372,364,XGBoost,univariate,1,RM07
0.04145351101827487,0.027729705966697944,0.4344547921881424,364,XGBoost,multivariate,1,RM07
0.05774465260391254,0.041494781031022526,-0.11038537308293694,358,XGBoost,univariate,7,RM07
0.052145535837932196,0.038738254383622606,0.09450833821526683,358,XGBoost,multivariate,7,RM07
0.05799505212108459,0.040615749903010506,-0.11678226795059299,351,XGBoost,univariate,14,RM07
0.060038632644334324,0.04366303026784859,-0.19687338364073037,351,XGBoost,multivariate,14,RM07
0.037979558539683655,0.028547072277291793,0.7191813874886901,364,XGBoost,univariate,1,RM14
0.03731445675129956,0.026084116715520293,0.7289307145065893,364,XGBoost,multivariate,1,RM14
0.06030603359112573,0.04706743597018651,0.27273494338480897,358,XGBoost,univariate,7,RM14
0.05176589463145641,0.040482560829044056,0.46413099403948366,358,XGBoost,multivariate,7,RM14
0.06487583357544123,0.05038959211134843,0.15983900745871016,351,XGBoost,univariate,14,RM14
0.05685426387767423,0.04349156766807251,0.3547579034766476,351,XGBoost,multivariate,14,RM14
0.03134262931382938,0.02117856580985535,0.9130598887037804,5083,XGBoost-Global,univariate,1,ALL
0.029085712302643892,0.01875786768531124,0.9251298424217372,5083,XGBoost-Global,multivariate,1,ALL
0.06102840687471278,0.04467552028501796,0.6630014671426302,4993,XGBoost-Global,univariate,7,ALL
0.0526756710282563,0.03870376574456059,0.7489362001291902,4993,XGBoost-Global,multivariate,7,ALL
0.07129270709010072,0.05333047052334914,0.5364252042484112,4888,XGBoost-Global,univariate,14,ALL
0.062165568676404326,0.04700093593978356,0.6475241020233479,4888,XGBoost-Global,multivariate,14,ALL
0.015336658307839542,0.010850755201333532,0.9580290820742049,365,LSTM,univariate,1,RM01
0.052532040000303426,0.044600614593356666,0.5075801897690002,365,LSTM,univariate,7,RM01
0.06130083976113951,0.05411660922887141,0.32946750106175793,365,LSTM,univariate,14,RM01
0.03308676373254947,0.025819515468415793,0.8046580295022858,365,LSTM,multivariate,1,RM01
0.06938633673863565,0.05566023053379573,0.1409174396928341,365,LSTM,multivariate,7,RM01
0.07814325477380393,0.067011504050976,-0.08960723005323668,365,LSTM,multivariate,14,RM01
0.020740310841456243,0.01475974327638464,0.9365831349736634,365,LSTM,univariate,1,RM04
0.06542848813735891,0.04819839030728745,0.3688857047869256,365,LSTM,univariate,7,RM04
0.06883576603142152,0.04949337949037543,0.30144187767173936,365,LSTM,univariate,14,RM04
0.03414935156854728,0.022863266658561185,0.828074945588969,365,LSTM,multivariate,1,RM04
0.06339577442347374,0.048094465152349164,0.4074911112528362,365,LSTM,multivariate,7,RM04
0.0656817728210033,0.048192959311062315,0.36398994774430515,365,LSTM,multivariate,14,RM04
0.017082214414917453,0.012800361575567416,0.9242161497762378,365,LSTM,univariate,1,RM05
0.03826685520551438,0.029164870301745006,0.6196933893575192,365,LSTM,univariate,7,RM05
0.04783333986392311,0.03615452875905886,0.40577661407331045,365,LSTM,univariate,14,RM05
0.027453154808045346,0.019093972967257324,0.8042630366191359,365,LSTM,multivariate,1,RM05
0.06144696928154633,0.04254499837733735,0.019405929317453552,365,LSTM,multivariate,7,RM05
0.04644248549247805,0.033855419435664606,0.43983078655888774,365,LSTM,multivariate,14,RM05
0.018061718194430997,0.012221846034148862,0.8931271302468774,365,LSTM,univariate,1,RM07
0.05169210726804176,0.03764821883743905,0.12461757908134763,365,LSTM,univariate,7,RM07
0.049800977093933475,0.0389910288059872,0.18749681015843456,365,LSTM,univariate,14,RM07
0.031491196325910464,0.020628654414961433,0.675116491769302,365,LSTM,multivariate,1,RM07
0.04632045888719212,0.033474951589878635,0.29709755545710737,365,LSTM,multivariate,7,RM07
0.04779625433480917,0.03495349540761991,0.251594321254176,365,LSTM,multivariate,14,RM07
