,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
1927,-202.54010897575293,-249.81106588797815,-203.13577379424723,-250.39390685799236,-203.13577891706103,-203.13577070608955,-248.04424335199124,-249.81111233063746,-250.394439471861,-250.40021977591533,-250.386563952489,5.435532907486171e-11,0.7424257530131098,4.061437933873709e-11,0.7472014249568862,1.0,0.7424238513610977,1.0,0.7424268993778915,1.0,1.0,1.0,1.3149304070334987e-10,1.7711271486702849e-10,0.4133607877326769,0.30878869840369594,0.7470198131211991,0.9999767789399574,0.9999974385963787,5.469054477909398e-11
1928,-254.50472150697829,-254.81722240450193,-254.50472229549496,-254.58644838481442,-254.50472289740745,-254.54175669890304,-251.75988753459478,-254.66669385353208,-254.40168698776222,-254.6069118399357,-254.6666942564072,0.8553449434611793,0.9999996057417415,0.9599602142025563,1.0,1.0,0.9999993047856607,1.0,0.9816528013140606,1.0,0.9816531883389371,1.0,1.0,1.0,0.23377336479447336,0.26689506132487406,1.0,1.0,0.9999996990438005,1.0
1929,-166.5235036826717,-275.0628488044623,-167.77995851781273,-275.90951205280936,-167.78013523296696,-167.77597278105583,-275.51714105956904,-275.06277911367795,-275.6264192868102,-275.64535310952164,-275.51762539037634,2.6976193746007244e-24,0.5335367010846779,1.7665668791386155e-24,0.654861429218526,1.0,0.533489561157085,1.0,0.5346010296861695,1.0,1.0,1.0,2.149474821880828e-24,4.02872907807644e-24,1.0,0.9468267831937605,0.7544094007099788,1.0,0.999911646326303,3.814845648981968e-24
1930,-95.10900699639086,-247.7513870568589,-95.40768724362982,-247.90947711365266,-95.40764489831031,-95.40758057630399,-251.41981160033487,-247.7500039584133,-247.75002135966548,-248.09216118893704,-248.07267238065708,7.147074638838457e-34,0.8612761247224298,6.60388494022865e-34,0.9239983173453965,1.0,0.8612943604218237,1.0,0.8613220609579088,1.0,1.0,1.0,1.1416685809914933e-34,1.325554660370312e-34,1.0,1.0,0.9999912994117535,1.0,1.0,8.303730993756537e-34
1931,-108.73414696169061,-242.36369972226493,-109.19378857834386,-243.17934069352285,-109.19369114131396,-109.19356989864684,-243.1880528030621,-242.36400591997722,-243.1789905992071,-243.17933414069606,-243.17940146762126,9.609732716481924e-30,0.7946759890659841,6.391416535731697e-30,0.6650982628028379,1.0,0.7947147054431296,1.0,0.7947628835686699,1.0,1.0,1.0,6.36363572653863e-30,8.007836922338738e-30,1.0,1.0,0.6653165479594468,0.9998469128628863,1.0,8.043811683833903e-30
1932,-255.071468024441,-255.29672343448982,-255.07140602685587,-255.11880253075824,-255.07147680540962,-255.07148307647327,-254.4734855596274,-255.12631251069095,-255.0641981918626,-255.1180438549522,-255.12676739877313,0.8934832375238306,1.0,0.9766106197975117,1.0,1.0,0.9999956095253314,1.0,0.9999924740121865,1.0,0.9999614759333696,1.0,1.0,1.0,0.7215068003401328,0.7442663461189192,1.0,1.0,0.9999646113493188,1.0
1933,-196.26198812081512,-265.15325433005967,-196.7127208954643,-265.1532596202836,-196.7123999488319,-196.7126589123508,-265.4768016298903,-265.1532353415637,-265.4769366593358,-265.15328857677105,-265.47717551029905,1.097619002143789e-15,0.7982237061280811,1.0976160988224582e-15,0.9999973548915218,1.0,0.7983518100116254,1.0,0.7982484447067035,1.0,1.0,1.0,9.336717390703818e-16,1.1696868082248692e-15,1.0,0.9999324875563094,0.8505682198611223,1.0,1.0,1.1694201640202676e-15
1934,-219.77560652527436,-255.19219551662462,-219.9547946945181,-255.4616172354241,-219.7756104875573,-219.95438289300935,-255.3662096899707,-255.19226308595424,-253.30413995942104,-255.19219923157547,-255.19226414560896,2.0388506623495986e-08,0.9143022392970467,1.7818914079239113e-08,0.873968574957048,1.0,0.9999980188604964,1.0,0.914490514200157,1.0,1.0,1.0,1.8689544588762508e-08,2.0441319932817635e-08,1.0,1.0,1.0,0.9999662159058874,1.0,5.240495254165502e-08
1935,-177.24651617374644,-243.51360740178674,-177.41707730847548,-243.62240690320246,-177.41708776279668,-177.41699868938798,-241.684987380142,-243.51347101326073,-241.36191410163326,-243.51361072640813,-243.7351107764385,4.0764674034975365e-15,0.9182546159789082,3.860632500100028e-15,0.9470534455366132,1.0,0.9182498161271042,1.0,0.9182907128583816,1.0,1.0,1.0,1.017100262482473e-14,1.1076451397940338e-14,0.4008204063104326,1.0,1.0,1.0,0.9999947728530622,1.3018393284175343e-14
1936,-247.7815418027854,-252.09056927202965,-247.77923045086186,-252.0905659950951,-247.78153505512785,-248.14217511059326,-250.48842723502676,-252.0904806672903,-252.08943650423527,-252.08949380054182,-252.09019023431318,0.11595956402676759,1.0,0.11595975402287494,1.0,1.0,1.0,1.0,0.8350057617097175,1.0,0.8340413230196172,1.0,0.25834930455587235,0.25805090893239313,0.4488678675694271,0.44910227437579,1.0,1.0,0.9988483615121783,0.11602486881074452
1937,-244.96471976271087,-260.32829224357863,-244.95355049797064,-260.3289170872691,-244.9646106260712,-245.82736074109025,-257.7658108886916,-260.32881774879206,-260.06275439544424,-260.3288741047219,-260.3283855156206,0.00046115043710061993,1.0,0.00046100638613364147,0.9996876269533997,1.0,1.0,1.0,0.6496506713900425,1.0,0.6460327230800312,1.0,0.0016606510362464704,0.0016514027588649487,0.2776196048873155,0.3171210383997827,1.0,0.9997372819097272,0.9944851986064731,0.0005265986446468465
1938,-244.0991701227129,-244.09839933572124,-245.2090310556321,-245.2073981891455,-245.20917843541616,-245.26401293659188,-241.74984434751434,-244.08985575539006,-243.9796138528472,-244.09839601358044,-245.206805885851,1.0,0.5741121798610322,0.5745810955231754,0.5743596983713839,1.0,0.5740698751552167,0.5738486749864693,0.5585442648524499,0.558329047000085,0.9728834963711263,0.9720895260987947,1.0,1.0,0.31036517095678684,0.32795307243888,1.0,1.0,0.9999263128229997,1.0
1939,-216.00055653219286,-252.03785152117774,-216.00055593806002,-252.19429772109797,-216.00016361283772,-216.02398629209216,-252.19423500121098,-252.03783985052823,-252.14352355655913,-252.19643628858245,-252.1964513855354,1.4948610351718284e-08,1.0,1.3823848357525874e-08,0.9247580900345611,1.0,1.0,1.0,0.9883534720841437,1.0,0.9883531784775584,1.0,1.3824281879426773e-08,1.382427777269744e-08,1.0,1.0,0.9485300077818183,1.0,1.0,1.4176502848975282e-08
1940,-239.36636482307043,-257.91047666565134,-240.08147220187047,-259.0139759870103,-240.1077642868095,-240.15078390036643,-257.86127711953685,-257.9104546997121,-258.20570142199983,-258.05477664003365,-258.0565559848005,9.401502751503348e-05,0.699385148365705,5.414713026398265e-05,0.5759412265802322,1.0,0.6902511708736814,1.0,0.6755625426669829,1.0,0.9659377872773109,1.0,9.635645709914904e-05,0.00013777309587472789,0.9757110516024334,0.8418005651966426,0.8627560011892185,1.0,0.9869399893415419,0.00011751218030349954
1941,-185.685504933762,-243.27157841709283,-185.95809974864926,-243.52538366837146,-185.95805418023136,-185.95569449084547,-243.50031516021775,-243.27148906904904,-243.27149299129658,-243.2715823384614,-243.52535535660678,3.1285494644816325e-13,0.8725830811908522,2.755687179968208e-13,0.8808194376510484,1.0,0.8726029625325911,1.0,0.8736331060921868,1.0,1.0,1.0,2.7904450401043905e-13,3.197913299322908e-13,1.0,1.0,0.9999980388781512,1.0,1.0,3.585460090199058e-13
