,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
38,-236.86968820535094,-237.12944660966963,-236.87074544579755,-237.13219244191578,-236.87025090009854,-237.28694989129656,-233.16866567284814,-237.08636300976843,-235.14077461548573,-237.12936549230682,-237.08670257514132,0.8782015093594004,0.9994715194717474,0.8769966396296867,0.998628025895113,1.0,0.9997186922006608,1.0,0.8116948231905002,0.9242694467498546,0.8121240149189112,0.9255392626512683,1.0,1.0,0.14102068905799225,0.3730456535249488,1.0,1.0,1.0,1.0
39,-231.35027439849156,-231.34940191332916,-231.3502536277632,-231.34938232419555,-231.35025031547585,-231.38133995850066,-227.66231704693695,-231.34909269098682,-231.24448718895815,-231.3493797743787,-231.3490730972563,1.0,1.0,1.0,1.0,1.0,1.0,0.9995758888872109,0.9845872314488184,0.9841578062471422,0.9845770062049518,0.9841481668949666,1.0,1.0,0.15828029130510757,0.1667791042791772,1.0,1.0,1.0,1.0
40,-252.2252671813179,-252.2241179559566,-253.2339498443797,-253.14312875663384,-253.23298560842045,-253.86019578119448,-249.28249287503948,-252.22378033227307,-253.09805854370586,-252.22410492308052,-253.11461620668723,1.0,0.6039032164629247,0.6319589827471377,0.6315959554120434,1.0,0.6041944392577692,0.6038473611986698,0.44154987421524194,0.4412962269398273,0.7311599974602055,0.6987002104089355,1.0,1.0,0.22977752320097092,0.14840906958222097,0.6458815793414987,1.0,1.0,1.0
41,-234.0511069687288,-234.05076911228304,-235.67763306071947,-234.7563204156244,-237.46606072178537,-237.87178349721276,-232.1266340502101,-234.0503302178195,-236.70491557237153,-237.40289228307012,-235.67690255556815,1.0,0.4434088396238649,0.7028535548531851,0.7027348330792327,1.0,0.18132271553777338,0.18129208760070473,0.1480303047666612,0.14800530038237766,0.33384608410656064,0.21061329738537413,1.0,1.0,0.3821859212998061,0.10135351133192048,0.26519425673038743,1.0,0.4089289597645053,1.0
42,-232.88750883572837,-232.90307284395874,-232.88746381447336,-232.8380739247704,-232.8874130309584,-233.9588392085829,-231.21450662751346,-232.8350835427052,-232.79376774463208,-232.83833757565424,-232.83440771252646,0.9922481972855853,1.0,1.0,1.0,1.0,1.0,1.0,0.5852798404248167,0.5898522587654182,0.585266665556632,0.5709905371351651,1.0,1.0,0.444729762040701,0.4540124953331416,1.0,1.0,1.0,1.0
43,-218.68339700718747,-218.90899137371875,-218.6833851714759,-218.90898026701342,-218.68335100560645,-218.7190451017372,-213.93070704273288,-221.7951770580148,-221.44935369821806,-218.90897768963058,-219.02668676846386,0.8933318243871424,1.0,0.8933367853875851,1.0,1.0,1.0,1.0,0.9823338614728905,1.0,0.9823280481799641,1.0,1.0,1.0,0.019599817820898997,0.02329950116790168,1.0,0.23619611054336,1.0,0.25082461068595463
44,-242.0424476852025,-242.04120323555225,-242.17831502823054,-242.0411903945623,-242.13060593253087,-244.80375586023544,-220.32860076954657,-242.04051599406716,-241.8732037631617,-242.04116882116227,-242.04862225603003,1.0,0.9343224437151006,1.0,1.0,1.0,0.9568782427649224,0.956283034563518,0.2514140524735419,0.2512576650678171,0.2690870311044402,0.25125605187442124,1.0,1.0,1.9289346442460184e-05,2.0972437196231215e-05,1.0,1.0,1.0,1.0
45,-231.1518079559918,-231.08741441284243,-231.15180537773884,-231.1514616046118,-231.15178949636817,-232.44522605956706,-226.23252010650754,-231.15089368238375,-231.05522556317783,-231.08717636296126,-231.1508917767655,1.0,1.0,1.0,0.9684837295791877,1.0,1.0,0.9683249636784969,0.5237666324471772,0.5071716242201652,0.5237659572461734,0.5236759366525798,1.0,1.0,0.08550445595727266,0.08969388101664309,1.0,0.9687587803479641,1.0,1.0
46,-212.4468532333388,-212.44594789134206,-213.77038269020414,-213.76947553460832,-213.31643560901097,-212.5311151725044,-207.18103404661758,-212.44513615916384,-213.2071445470717,-213.31553092191007,-213.7690907622164,1.0,0.5159400365794273,0.5161741086059982,0.5159405044338286,1.0,0.6473998379259615,0.6471068451146599,0.9587442060207663,0.9583103085376573,1.0,1.0,1.0,1.0,0.07193077676401763,0.0491413101715387,0.6831750244093147,1.0,1.0,1.0
47,-244.55261897611032,-245.04492659149338,-245.1181206785173,-244.62075407327035,-244.5525415838019,-244.84184357493712,-243.86581496470353,-245.00672999961466,-245.0024103895829,-245.04484673128576,-244.62221078783088,0.7818019685215244,0.7537075497973693,0.9665062163099801,1.0,1.0,1.0,1.0,0.8653577277811136,1.0,1.0,0.8953462618015631,1.0,1.0,0.5652667601192607,0.5664889454690003,1.0,1.0,1.0,0.7985686008332564
